t,phi,phi',phi'',theta,theta',theta'',alpha,alpha',alpha'',psi,psi',psi'',X,Y,Z
0.02125,2.8001906841293e-17,1.7158368000192e-15,-1.19171360574394e-14,1.57319263585546,0.147673935160221,0.0452875977603462,1.5707963267949,3.52708663951733e-15,-2.99951832479689e-12,-2.42188142145587e-16,-7.87238040508514e-15,1.15619356024322e-11,2.46096850698991e-17,-0.000243465430024238,0
0.0225,3.01372201041787e-17,1.70052636440844e-15,-1.257978863604e-14,1.5733772643901,0.147732308191805,0.048109811172159,1.5707963267949,-2.22315852146518e-16,-2.99952588178734e-12,-2.42995853921333e-16,6.5800429442124e-15,1.15619422279497e-11,2.46922937544769e-17,-0.000262223726477092,0
0.02375,3.22528775121563e-17,1.6843873284291e-15,-1.32429165009315e-14,1.57356196809612,0.147794209688151,0.0509331751414654,1.5707963267949,-3.97172806495102e-15,-2.99953387919277e-12,-2.25738031089025e-16,2.10324751647891e-14,1.15619497971442e-11,2.29394907622798e-17,-0.000280989660362469,0
0.025,3.43478429212726e-17,1.66741907315611e-15,-1.39065593672496e-14,1.57374675138507,0.147859641129659,0.0537577571967373,1.5707963267949,-7.72115055012845e-15,-2.99954231818043e-12,-1.90414661821449e-16,3.5484917437073e-14,1.15619583113853e-11,1.93512764331819e-17,-0.0002997636798894,0
0.02625,3.64210793997919e-17,1.64962093001097e-15,-1.45707569692606e-14,1.57393161867042,0.147928604081143,0.0565836248752172,1.5707963267949,-1.14705838604021e-14,-2.99955119998972e-12,-1.37025732815186e-16,4.99373709432523e-14,1.15619677721528e-11,1.39276511292145e-17,-0.000318546233460286,0
0.0275,3.84715491577092e-17,1.63099218073296e-15,-1.52355490741273e-14,1.57411657436748,0.148001100191847,0.0594108457527943,1.5707963267949,-1.52200285501027e-14,-2.99956052595763e-12,-6.55712292888452e-17,6.4389836867455e-14,1.15619781810716e-11,6.66861523466305e-18,-0.000337337769681621,0
0.02875,4.04982134557588e-17,1.61153205732565e-15,-1.59009754813744e-14,1.57430162289375,0.148077131195525,0.062239487461413,1.5707963267949,-1.89694851752962e-14,-2.99957029749924e-12,2.39488650214507e-17,7.88423163959314e-14,1.15619895398789e-11,-2.42583084383298e-18,-0.000356138737374719,0
0.03,4.25000325584874e-17,1.59123974202953e-15,-1.62338522369025e-14,1.57448676866904,0.1481566989105,0.0636541719798433,1.5707963267949,-2.27189542938508e-14,-2.99957529484372e-12,1.31534567864269e-16,9.32948107171523e-14,1.15619954569767e-11,-1.33556866771752e-17,-0.000374949585586451,0
0.03,4.25000325584874e-17,1.59123974202953e-15,-1.46575768211181e-14,1.57448676866904,0.1481566989105,0.0722757983751431,1.5707963267949,-2.27189542938508e-14,-1.90921190031438e-12,1.31534567864269e-16,9.32948107171523e-14,7.19118953746495e-12,-1.33556866771752e-17,-0.000374949585586451,0
0.03125,4.44776882648895e-17,1.57291777100313e-15,-1.48447962697221e-14,1.57467202063947,0.148247043658469,0.073692109551704,1.5707963267949,-2.51054691692438e-14,-1.90456035567448e-12,2.53764375747733e-16,1.02283797638984e-13,7.17689264866132e-12,-2.57740206477365e-17,-0.000393771223239581,0
